id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.morning.colour.initial,n.afternoon.colour.initial,species,n.morning.colour.training,n.afternoon.colour.training,colour.training.scheme
1,F,1B,1morning,16,22,purple,17,30,reversed,0,3,hecale,16,22,purple.morning.yellow.afternoon
2,M,1B,1morning,1,66,purple,3,32,reversed,24,22,hecale,1,66,purple.morning.yellow.afternoon
3,F,1B,1morning,88,6,purple,96,1,reversed,24,5,hecale,88,6,purple.morning.yellow.afternoon
4,M,1B,1morning,4,17,purple,8,45,reversed,51,1,hecale,4,17,purple.morning.yellow.afternoon
5,M,1B,1morning,25,65,purple,53,116,reversed,1,21,hecale,25,65,purple.morning.yellow.afternoon
6,M,1B,1morning,20,14,purple,18,27,reversed,38,2,hecale,20,14,purple.morning.yellow.afternoon
7,F,1B,1morning,69,32,purple,62,7,reversed,20,5,hecale,69,32,purple.morning.yellow.afternoon
8,F,1B,1morning,42,8,purple,36,19,reversed,25,21,hecale,42,8,purple.morning.yellow.afternoon
11,M,1B,1morning,0,83,purple,33,136,reversed,46,6,hecale,0,83,purple.morning.yellow.afternoon
12,F,1B,1morning,81,59,purple,47,90,reversed,15,5,hecale,81,59,purple.morning.yellow.afternoon
27,M,1B,1morning,32,28,purple,36,36,reversed,59,11,hecale,32,28,purple.morning.yellow.afternoon
28,F,1B,1morning,106,47,purple,100,15,reversed,0,0,hecale,106,47,purple.morning.yellow.afternoon
D1,M,4A,1morning,26,92,purple,25,99,normal,16,11,dryas,26,92,purple.morning.yellow.afternoon
D10,M,4A,1morning,33,18,purple,70,70,normal,48,6,dryas,33,18,purple.morning.yellow.afternoon
D11,M,4A,1morning,19,29,purple,35,119,normal,0,0,dryas,19,29,purple.morning.yellow.afternoon
D13,M,5A,1morning,24,1,yellow,54,2,reversed,3,1,dryas,24,1,yellow.morning.purple.afternoon
D14,F,5A,1morning,29,6,yellow,11,2,reversed,1,1,dryas,29,6,yellow.morning.purple.afternoon
D15,M,5A,1morning,26,2,yellow,22,9,reversed,1,0,dryas,26,2,yellow.morning.purple.afternoon
D16,M,5A,1morning,21,6,yellow,31,10,reversed,9,105,dryas,21,6,yellow.morning.purple.afternoon
D17,M,5A,1morning,46,24,yellow,16,6,reversed,14,26,dryas,46,24,yellow.morning.purple.afternoon
D18,M,5A,1morning,46,16,yellow,2,5,reversed,12,30,dryas,46,16,yellow.morning.purple.afternoon
D2,M,4A,1morning,23,34,purple,7,44,normal,7,2,dryas,23,34,purple.morning.yellow.afternoon
D20,M,5A,1morning,7,1,yellow,86,12,reversed,21,14,dryas,7,1,yellow.morning.purple.afternoon
D3,F,4A,1morning,27,25,purple,59,20,normal,15,10,dryas,27,25,purple.morning.yellow.afternoon
D4,M,4A,1morning,17,33,purple,36,94,normal,9,0,dryas,17,33,purple.morning.yellow.afternoon
D5,F,4A,1morning,2,2,purple,0,0,normal,1,2,dryas,2,2,purple.morning.yellow.afternoon
D8,M,4A,1morning,19,8,purple,5,4,normal,4,0,dryas,19,8,purple.morning.yellow.afternoon
D9,F,4A,1morning,127,0,purple,0,0,normal,22,0,dryas,127,0,purple.morning.yellow.afternoon
DM,F,5A,1morning,0,34,yellow,0,2,reversed,2,3,dryas,0,34,yellow.morning.purple.afternoon
DR,M,5A,1morning,50,3,yellow,88,12,reversed,2,3,dryas,50,3,yellow.morning.purple.afternoon
DX,F,5A,1morning,0,0,yellow,0,0,reversed,2,3,dryas,0,0,yellow.morning.purple.afternoon
H13,M,3B,1morning,72,11,yellow,90,0,reversed,2,4,hecale,72,11,yellow.morning.purple.afternoon
H14,F,3B,1morning,18,6,yellow,130,2,reversed,14,11,hecale,18,6,yellow.morning.purple.afternoon
H15,F,3B,1morning,24,7,yellow,42,21,reversed,4,9,hecale,24,7,yellow.morning.purple.afternoon
H16,M,3B,1morning,57,10,yellow,91,22,reversed,72,48,hecale,57,10,yellow.morning.purple.afternoon
H17,M,3B,1morning,35,3,yellow,148,4,reversed,1,2,hecale,35,3,yellow.morning.purple.afternoon
H18,F,3B,1morning,21,6,yellow,61,15,reversed,1,8,hecale,21,6,yellow.morning.purple.afternoon
H21,F,3B,1morning,47,27,yellow,152,40,reversed,17,6,hecale,47,27,yellow.morning.purple.afternoon
H22,M,3B,1morning,130,72,yellow,47,47,reversed,0,17,hecale,130,72,yellow.morning.purple.afternoon
H23,M,3B,1morning,128,43,yellow,53,24,reversed,2,7,hecale,128,43,yellow.morning.purple.afternoon
H24,F,3B,1morning,27,27,yellow,33,35,reversed,5,4,hecale,27,27,yellow.morning.purple.afternoon
H25,M,3B,1morning,74,22,yellow,19,8,reversed,0,12,hecale,74,22,yellow.morning.purple.afternoon
H26,M,3B,1morning,78,29,yellow,28,30,reversed,0,1,hecale,78,29,yellow.morning.purple.afternoon
H29,F,3B,1morning,59,5,yellow,114,1,reversed,3,1,hecale,59,5,yellow.morning.purple.afternoon
M1,M,2B,1morning,77,19,yellow,38,10,normal,7,40,melpomene,77,19,yellow.morning.purple.afternoon
M10,F,2B,1morning,45,18,yellow,73,1,normal,3,24,melpomene,45,18,yellow.morning.purple.afternoon
M11,M,2B,1morning,62,4,yellow,69,24,normal,0,0,melpomene,62,4,yellow.morning.purple.afternoon
M3,M,2B,1morning,39,24,yellow,4,3,normal,1,35,melpomene,39,24,yellow.morning.purple.afternoon
M4,F,2B,1morning,37,13,yellow,14,0,normal,7,1,melpomene,37,13,yellow.morning.purple.afternoon
M5,F,2B,1morning,18,0,yellow,6,0,normal,5,3,melpomene,18,0,yellow.morning.purple.afternoon
M6,M,2B,1morning,77,33,yellow,83,7,normal,26,32,melpomene,77,33,yellow.morning.purple.afternoon
M7,M,2B,1morning,218,1,yellow,157,0,normal,19,1,melpomene,218,1,yellow.morning.purple.afternoon
M8,F,2B,1morning,25,1,yellow,16,0,normal,5,12,melpomene,25,1,yellow.morning.purple.afternoon
M9,F,2B,1morning,16,8,yellow,2,0,normal,1,0,melpomene,16,8,yellow.morning.purple.afternoon
T10,M,1A,1morning,46,41,yellow,43,70,normal,1,12,hecale,46,41,yellow.morning.purple.afternoon
T11,M,1A,1morning,118,38,yellow,33,27,normal,11,15,hecale,118,38,yellow.morning.purple.afternoon
T12,M,1A,1morning,53,30,yellow,63,34,normal,3,0,hecale,53,30,yellow.morning.purple.afternoon
T17,M,1A,1morning,131,48,yellow,45,26,normal,4,1,hecale,131,48,yellow.morning.purple.afternoon
T18,M,3A,1morning,21,31,yellow,22,4,normal,0,24,hecale,21,31,yellow.morning.purple.afternoon
T19,M,3A,1morning,21,83,yellow,2,8,normal,0,48,hecale,21,83,yellow.morning.purple.afternoon
T20,M,3A,1morning,81,93,yellow,24,47,normal,0,25,hecale,81,93,yellow.morning.purple.afternoon
T21,M,3A,1morning,0,72,yellow,0,2,normal,0,4,hecale,0,72,yellow.morning.purple.afternoon
T23,F,3A,1morning,36,3,yellow,12,0,normal,0,4,hecale,36,3,yellow.morning.purple.afternoon
T24,M,3A,1morning,15,73,yellow,10,5,normal,0,23,hecale,15,73,yellow.morning.purple.afternoon
T25,M,3A,1morning,56,18,yellow,15,3,normal,0,7,hecale,56,18,yellow.morning.purple.afternoon
T3,M,2A,1morning,127,48,purple,9,9,normal,17,4,hecale,127,48,purple.morning.yellow.afternoon
T5,F,2A,1morning,46,10,purple,19,1,normal,15,6,hecale,46,10,purple.morning.yellow.afternoon
T6,F,2A,1morning,19,4,purple,13,1,normal,1,0,hecale,19,4,purple.morning.yellow.afternoon
T8,M,2A,1morning,40,22,purple,21,19,normal,4,19,hecale,40,22,purple.morning.yellow.afternoon
W2,M,2A,1morning,23,24,purple,0,9,normal,13,22,hecale,23,24,purple.morning.yellow.afternoon
1,F,1B,2afternoon,33,2,yellow,41,66,reversed,3,6,hecale,2,33,purple.morning.yellow.afternoon
2,M,1B,2afternoon,97,9,yellow,3,70,reversed,17,33,hecale,9,97,purple.morning.yellow.afternoon
3,F,1B,2afternoon,0,7,yellow,15,0,reversed,14,0,hecale,7,0,purple.morning.yellow.afternoon
4,M,1B,2afternoon,84,10,yellow,27,93,reversed,90,3,hecale,10,84,purple.morning.yellow.afternoon
5,M,1B,2afternoon,91,4,yellow,32,64,reversed,18,19,hecale,4,91,purple.morning.yellow.afternoon
6,M,1B,2afternoon,73,11,yellow,10,27,reversed,22,4,hecale,11,73,purple.morning.yellow.afternoon
7,F,1B,2afternoon,39,29,yellow,2,5,reversed,7,1,hecale,29,39,purple.morning.yellow.afternoon
8,F,1B,2afternoon,4,19,yellow,9,3,reversed,1,0,hecale,19,4,purple.morning.yellow.afternoon
11,M,1B,2afternoon,53,26,yellow,38,66,reversed,12,26,hecale,26,53,purple.morning.yellow.afternoon
12,F,1B,2afternoon,35,64,yellow,18,4,reversed,0,2,hecale,64,35,purple.morning.yellow.afternoon
27,M,1B,2afternoon,58,39,yellow,30,58,reversed,35,7,hecale,39,58,purple.morning.yellow.afternoon
28,F,1B,2afternoon,0,13,yellow,2,0,reversed,0,0,hecale,13,0,purple.morning.yellow.afternoon
D1,M,4A,2afternoon,53,6,yellow,69,160,normal,5,3,dryas,6,53,purple.morning.yellow.afternoon
D10,M,4A,2afternoon,51,56,yellow,92,17,normal,17,2,dryas,56,51,purple.morning.yellow.afternoon
D11,M,4A,2afternoon,70,14,yellow,0,0,normal,8,13,dryas,14,70,purple.morning.yellow.afternoon
D13,M,5A,2afternoon,2,47,purple,14,4,reversed,7,8,dryas,47,2,yellow.morning.purple.afternoon
D14,F,5A,2afternoon,26,10,purple,17,54,reversed,9,11,dryas,10,26,yellow.morning.purple.afternoon
D15,M,5A,2afternoon,13,33,purple,19,20,reversed,5,2,dryas,33,13,yellow.morning.purple.afternoon
D16,M,5A,2afternoon,21,9,purple,40,99,reversed,1,10,dryas,9,21,yellow.morning.purple.afternoon
D17,M,5A,2afternoon,29,30,purple,10,44,reversed,36,41,dryas,30,29,yellow.morning.purple.afternoon
D18,M,5A,2afternoon,54,57,purple,0,0,reversed,0,0,dryas,57,54,yellow.morning.purple.afternoon
D2,M,4A,2afternoon,36,33,yellow,0,0,normal,62,8,dryas,33,36,purple.morning.yellow.afternoon
D20,M,5A,2afternoon,10,9,purple,24,48,reversed,1,0,dryas,9,10,yellow.morning.purple.afternoon
D3,F,4A,2afternoon,71,36,yellow,126,38,normal,65,24,dryas,36,71,purple.morning.yellow.afternoon
D4,M,4A,2afternoon,41,50,yellow,123,57,normal,49,3,dryas,50,41,purple.morning.yellow.afternoon
D5,F,4A,2afternoon,23,1,yellow,0,40,normal,0,1,dryas,1,23,purple.morning.yellow.afternoon
D8,M,4A,2afternoon,12,10,yellow,17,10,normal,0,0,dryas,10,12,purple.morning.yellow.afternoon
D9,F,4A,2afternoon,0,161,yellow,0,0,normal,43,1,dryas,161,0,purple.morning.yellow.afternoon
DM,F,5A,2afternoon,22,4,purple,0,9,reversed,0,0,dryas,4,22,yellow.morning.purple.afternoon
DR,M,5A,2afternoon,20,57,purple,150,24,reversed,16,10,dryas,57,20,yellow.morning.purple.afternoon
DX,F,5A,2afternoon,0,0,purple,0,0,reversed,4,3,dryas,0,0,yellow.morning.purple.afternoon
H13,M,3B,2afternoon,0,27,purple,0,17,reversed,0,11,hecale,27,0,yellow.morning.purple.afternoon
H14,F,3B,2afternoon,0,0,purple,0,0,reversed,12,28,hecale,0,0,yellow.morning.purple.afternoon
H15,F,3B,2afternoon,4,13,purple,1,2,reversed,0,1,hecale,13,4,yellow.morning.purple.afternoon
H16,M,3B,2afternoon,0,13,purple,32,5,reversed,23,6,hecale,13,0,yellow.morning.purple.afternoon
H17,M,3B,2afternoon,12,34,purple,5,4,reversed,0,8,hecale,34,12,yellow.morning.purple.afternoon
H18,F,3B,2afternoon,0,11,purple,3,2,reversed,2,7,hecale,11,0,yellow.morning.purple.afternoon
H21,F,3B,2afternoon,7,27,purple,45,22,reversed,27,19,hecale,27,7,yellow.morning.purple.afternoon
H22,M,3B,2afternoon,110,39,purple,22,9,reversed,0,5,hecale,39,110,yellow.morning.purple.afternoon
H23,M,3B,2afternoon,93,41,purple,29,6,reversed,1,2,hecale,41,93,yellow.morning.purple.afternoon
H24,F,3B,2afternoon,6,19,purple,3,1,reversed,2,2,hecale,19,6,yellow.morning.purple.afternoon
H25,M,3B,2afternoon,21,4,purple,21,22,reversed,11,11,hecale,4,21,yellow.morning.purple.afternoon
H26,M,3B,2afternoon,28,49,purple,39,22,reversed,2,20,hecale,49,28,yellow.morning.purple.afternoon
H29,F,3B,2afternoon,2,30,purple,13,0,reversed,7,2,hecale,30,2,yellow.morning.purple.afternoon
M1,M,2B,2afternoon,33,21,purple,11,9,normal,0,1,melpomene,21,33,yellow.morning.purple.afternoon
M10,F,2B,2afternoon,1,23,purple,0,0,normal,0,12,melpomene,23,1,yellow.morning.purple.afternoon
M11,M,2B,2afternoon,10,29,purple,36,9,normal,0,0,melpomene,29,10,yellow.morning.purple.afternoon
M3,M,2B,2afternoon,10,7,purple,1,6,normal,0,1,melpomene,7,10,yellow.morning.purple.afternoon
M4,F,2B,2afternoon,8,9,purple,1,0,normal,1,2,melpomene,9,8,yellow.morning.purple.afternoon
M5,F,2B,2afternoon,0,2,purple,0,0,normal,0,0,melpomene,2,0,yellow.morning.purple.afternoon
M6,M,2B,2afternoon,23,17,purple,0,4,normal,2,9,melpomene,17,23,yellow.morning.purple.afternoon
M7,M,2B,2afternoon,1,68,purple,4,0,normal,4,0,melpomene,68,1,yellow.morning.purple.afternoon
M8,F,2B,2afternoon,0,13,purple,1,0,normal,1,7,melpomene,13,0,yellow.morning.purple.afternoon
M9,F,2B,2afternoon,9,10,purple,0,0,normal,4,0,melpomene,10,9,yellow.morning.purple.afternoon
T10,M,1A,2afternoon,41,20,purple,5,22,normal,21,9,hecale,20,41,yellow.morning.purple.afternoon
T11,M,1A,2afternoon,48,42,purple,18,23,normal,2,9,hecale,42,48,yellow.morning.purple.afternoon
T12,M,1A,2afternoon,84,6,purple,134,64,normal,10,12,hecale,6,84,yellow.morning.purple.afternoon
T17,M,1A,2afternoon,81,48,purple,13,29,normal,1,15,hecale,48,81,yellow.morning.purple.afternoon
T18,M,3A,2afternoon,31,33,purple,2,2,normal,0,4,hecale,33,31,yellow.morning.purple.afternoon
T19,M,3A,2afternoon,60,11,purple,6,14,normal,0,15,hecale,11,60,yellow.morning.purple.afternoon
T20,M,3A,2afternoon,27,17,purple,5,7,normal,0,9,hecale,17,27,yellow.morning.purple.afternoon
T21,M,3A,2afternoon,51,1,purple,0,43,normal,0,0,hecale,1,51,yellow.morning.purple.afternoon
T23,F,3A,2afternoon,6,4,purple,4,1,normal,1,8,hecale,4,6,yellow.morning.purple.afternoon
T24,M,3A,2afternoon,64,6,purple,2,0,normal,0,3,hecale,6,64,yellow.morning.purple.afternoon
T25,M,3A,2afternoon,28,25,purple,2,1,normal,0,6,hecale,25,28,yellow.morning.purple.afternoon
T3,M,2A,2afternoon,92,59,yellow,4,4,normal,2,3,hecale,59,92,purple.morning.yellow.afternoon
T5,F,2A,2afternoon,0,10,yellow,0,0,normal,0,0,hecale,10,0,purple.morning.yellow.afternoon
T6,F,2A,2afternoon,0,5,yellow,0,0,normal,7,0,hecale,5,0,purple.morning.yellow.afternoon
T8,M,2A,2afternoon,20,49,yellow,9,2,normal,11,1,hecale,49,20,purple.morning.yellow.afternoon
W2,M,2A,2afternoon,62,13,yellow,0,0,normal,1,0,hecale,13,62,purple.morning.yellow.afternoon